keys,en,zh
dialog_spilled_coffee,"This room... there’s coffee spilled all over the floor, right?\nWhy’s no one cleaning it up? Oh right, the cleaners were probably let go for cost-cutting too.\nThe boss made us employees take care of the office cleaning ourselves anyway.\nIt’d be the worst if my shoes get covered in coffee—definitely not gonna let that happen…!\nWalking around would be all sticky if they did.\nMaybe sliding over the coffee stains with the chair would work? \nYep, that’s the way to go! Just gotta make sure I don’t step on them at all.","这个房间……地上洒了咖啡吧
怎么也没有人来清理，也对，大概是清洁工也被降本增效了
之前老板要求员工自己负责办公区卫生来着
要是鞋子上沾了咖啡就很讨厌了，绝对不行…！
走起来大概会粘粘的
用椅子滑过咖啡渍的话说不定可行？没错，就这么办吧，只要不踩到就好"
dialog_about_break_window,"Hey hey hey, I’m back!Once again, I pulled a little tech trick out of my sleeve!
You remember what I said last time? Let’s use a little free fall to take care of the trouble right in front of us!","害嗨害，我又来了
再一次，用了一点小小的技术手段
还记得我上次说的吗？利用一点自由落体来解决掉眼前的麻烦吧"
dialog_tuto_00,That last hit was so good! I’ve been dying to do this for ages—this lousy company!,刚刚的一击真不赖啊！早就想这么干了，狗公司
dialog_tuto_01,…\nWho are you?,"。
你谁啊？"
dialog_tuto_02,"Oh, you don’t remember me?\nLet me jog your memory—I’m your former colleague!\nWe weren’t in the same department, though.
Quit my job a while back, and now I’m making indie games!","哦，你不记得了啊
这样，我是你前同事来的
不过不是在一个部门
前段时间辞职了，现在去做独立游戏了"
dialog_tuto_03,Oh! Now I remember!\nYou’re the one who got a written warning for hosting a swivel chair race in the office a while back!,"啊！想起来了
你就是那个之前因为在办公室举办转椅子大赛被通报批评的"
dialog_tuto_04,"Ahem…\nCutting to the chase—let me school you on some ultra pro tips!
First off, you can adjust your direction by sitting on the chair. \nIf you wanna break down the door, pile junk onto the chair to build up momentum.
Some moves only work if the chair’s in the right relative position—like pushing it, for example.
Alright, go figure it out on your own! Good luck escaping the company. (Honestly, I shouldn’t be rambling this much—logic puzzle tutorials are supposed to be a little more sleek and classy.)","（咳咳…）
不多废话了，让我来教你一些*超绝技巧*吧！
首先是你可以通过坐上椅子调整方向；想要破坏门的话，把杂物搬上椅子就可以增加动量。
有些操作需要椅子处于特定的相对方向才能进行，比如推动
好了，自个儿玩去吧，加油逃离公司（理论上我不应该说这么多的，逻辑解谜教程应该优雅一点）"
dialog_check_trashbin,The trashbin—it’s piled high with resumes.,人才库，里面堆满了简历。
dialog_watchout_00,"Oh, there are floor-to-ceiling windows here! \nThe natural light’s way better, and it’s lifted my mood a little too.",这里装了落地窗诶，感觉采光好了不少，心情也跟着好了一点点
dialog_watchout_01,"Heard they cut corners here to save money, though. \nLet’s hope I don’t slam into the window and go flying out with the chair…",不过听说之前为了省钱偷工减料，但愿不会撞到窗户之后连人带椅子一起掉下去吧…
space,Press space,按下空格
replay,Replay,重播
move,[Move] WASD/Arrow,[移动]WASD/方向键
action,[Grab/Put Box] E/X,[拿/放箱子] E/X
undo,[Undo] Z,[撤销] Z
reset,[Reset] R,[重置] R
esc,[Return] ESC,[返回] ESC
gameover,"GAME OVER
Press Z to undo ","GAME OVER
按 Z 撤回操作"
credit_00,<Programming>\nTrioDuckk\nFeishiko,<程序>\n三重鸭\nFeishiko
credit_01,<Art>\nDaNGo_iz\nTrioDuckk,<美术>\n以子\n三重鸭
credit_02,<UI>\nFeishiko\nTrioDuckk,<UI>\nFeishiko\n三重鸭
credit_03,<Design>\nFeishiko\nTrioDuckk\nDaNGo_iz,<策划>\nFeishiko\n三重鸭\n以子
credit_04,<Music>\nFeishiko,<音乐/音效>\nFeishiko
credit_05,<Special Thanks>\nKoiro,<特别鸣谢>\n宏楼
credit_06,Thanks for playing!,感谢游玩！
